,tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
11034,tt3966404,movie,Mustang,2015,97,Drama,7.6,38936
11035,tt3967856,movie,Okja,2017,120,"Action,Adventure,Drama",7.3,121879
11039,tt3976144,movie,The Monster,2016,91,"Drama,Fantasy,Horror",5.4,17762
11040,tt3978720,movie,4th Man Out,2015,86,"Comedy,Drama",6.7,10415
11042,tt3986820,movie,The Endless,2017,111,"Drama,Fantasy,Horror",6.5,43199
11043,tt3991412,movie,The 9th Life of Louis Drax,2016,108,Thriller,6.3,14545
11045,tt4003440,movie,The House That Jack Built,2018,152,"Crime,Drama,Horror",6.8,77007
11046,tt4005402,movie,Colonia,2015,110,"Biography,Drama,History",7.0,54088
11047,tt4006302,movie,Level 16,2018,102,"Drama,Mystery,Sci-Fi",6.1,12411
11050,tt4009278,movie,Intruders,2015,90,"Drama,Horror,Thriller",5.7,13165
11051,tt4009460,movie,Kirk Cameron's Saving Christmas,2014,79,"Comedy,Family",1.3,15963
11052,tt4015500,movie,The Tale,2018,114,"Biography,Drama,Mystery",7.2,18145
11054,tt4016934,movie,The Handmaiden,2016,145,"Drama,Romance,Thriller",8.1,146583
11055,tt4019560,movie,Exposed,2016,102,"Crime,Drama,Mystery",4.3,15754
11056,tt4025514,movie,Suburra,2015,130,"Crime,Drama,Thriller",7.4,20435
11057,tt4028464,movie,The Innocents,2021,117,"Drama,Fantasy,Horror",7.0,13526
11058,tt4030600,movie,The Bye Bye Man,2017,96,"Drama,Fantasy,Horror",4.3,24448
11059,tt4034228,movie,Manchester by the Sea,2016,137,Drama,7.8,281556
11060,tt4034354,movie,Swiss Army Man,2016,97,"Comedy,Drama,Fantasy",6.9,122138
11061,tt4044364,movie,Citizenfour,2014,114,"Biography,Documentary,History",8.0,55874
11062,tt4046784,movie,Maze Runner: The Scorch Trials,2015,131,"Action,Adventure,Sci-Fi",6.3,250926
11064,tt4048272,movie,Toni Erdmann,2016,162,"Comedy,Drama",7.3,48705
11066,tt4052882,movie,The Shallows,2016,86,"Action,Drama,Horror",6.3,133868
11072,tt4062536,movie,Green Room,2015,95,"Crime,Drama,Horror",7.0,124731
11074,tt4065552,movie,Tuntematon sotilas,2017,180,"Drama,War",7.7,11467
11076,tt4068576,movie,The Nightingale,2018,136,"Adventure,Drama,Thriller",7.3,31230
11077,tt4073790,movie,The Darkest Minds,2018,104,"Action,Adventure,Drama",5.7,32613
11079,tt4080728,movie,A Man Called Ove,2015,116,"Comedy,Drama,Romance",7.7,55816
11080,tt4080956,movie,A Prayer Before Dawn,2017,116,"Action,Biography,Crime",6.8,23804
11081,tt4081630,movie,The Valet,2022,124,"Comedy,Drama,Romance",6.7,12756
11082,tt4082068,movie,Dheepan,2015,115,"Crime,Drama",7.2,16020
11084,tt4083572,movie,Urge,2016,89,Thriller,4.4,10187
11085,tt4084744,movie,Battle for Sevastopol,2015,110,"Action,Biography,Drama",7.0,12612
11086,tt4088268,movie,Department Q: A Conspiracy of Faith,2016,112,"Crime,Drama,Mystery",7.0,20422
11090,tt4094724,movie,The Purge: Election Year,2016,108,"Action,Horror,Sci-Fi",6.0,102095
11091,tt4103724,movie,Forever My Girl,2018,108,"Comedy,Drama,Music",6.6,17975
11092,tt4104022,movie,People Places Things,2015,85,"Comedy,Romance",6.8,10680
11093,tt4106376,movie,American Renegades,2017,106,"Action,Adventure,Crime",5.4,10135
11094,tt4106514,movie,The Postcard Killings,2020,104,"Crime,Drama,Thriller",5.7,11498
11095,tt4107858,movie,MSG: The Messenger of God,2015,197,"Action,Comedy,Drama",6.0,11306
11097,tt4110568,movie,Dil Dhadakne Do,2015,170,"Comedy,Drama,Romance",7.0,18032
11098,tt4114744,movie,Whisper If I Forget,2014,118,"Drama,Music,Romance",7.5,10622
11099,tt4116284,movie,The Lego Batman Movie,2017,104,"Action,Adventure,Animation",7.3,152060
11101,tt4120176,movie,Things to Come,2016,102,Drama,6.9,13841
11103,tt4123430,movie,Fantastic Beasts: The Crimes of Grindelwald,2018,134,"Adventure,Family,Fantasy",6.5,282175
11104,tt4123432,movie,Fantastic Beasts: The Secrets of Dumbledore,2022,142,"Adventure,Family,Fantasy",6.2,133579
11109,tt4126304,movie,Cartel Land,2015,100,Documentary,7.3,18482
11110,tt4126438,movie,The Ones Below,2015,87,"Drama,Thriller",6.1,10582
11111,tt4126476,movie,After,2019,105,"Drama,Romance",5.3,55826
